Batter,Team,wRC
Nick Oddo,PIT,131
Jordan Hinshaw,PIT,118
Mike Taylor,PIT,82
David Kiriokos,PIT,104
Rich Mejia,PIT,78
Thomas Shull,PIT,96
Andrew Rubalcava,PIT,105
John Contreras,PIT,121
Jordan Yallen,PIT,34
Brandon Williams,PIT,82
Tyler Nordgren,PIT,142
Sammy Ayala,PIT,116
Ian Hagenmiller,PIT,54
Derrick Fox,SON,105
Daniel Baptista,SON,112
Joel Carranza,SON,141
Mark Hurley,SON,113
Matt Hibbert,SON,110
Mason Morioka,SON,123
Yuki Yasuda,SON,121
Caleb Bryson,SON,129
Eddie Mora-Loera,SON,102
Chaz Meadows,SON,80
Randy Santiesteban,SON,147
Ethan Szabo,SON,121
Zack Pace,SR,119
Chase Tucker,SR,120
Jake Taylor,SR,132
Maikel Jova,SR,74
Danny Gonzalez,SR,81
Brent Gillespie,SR,109
Ricky Gingras,SR,66
Johnny Bekakis,SR,120
Kyle Adie,SR,159
Darian Sandford,VAL,88
Tim Williams,VAL,123
Lydell Moseby,VAL,114
Gerald Bautista,VAL,114
Gadiel Baez,VAL,78
Joseph Hicks,VAL,86
Wilfredo Petit,VAL,80
P.J. Phillips,VAL,60
Alian Silva,VAL,58
Aaron Brill,VAL,60
Jackson Valera,VAL,164
Pedro Perez,VAL,85
Cyle Figueroa,VAL,75