Pitcher,Team,FIP
Patrick Conroy,SR,3.095
Celson Polanco,SR,3.524
David Dinelli,VAL,4.157
Roman Gomez,VAL,3.833
Taylor Thurber,SON,2.345
Nick DeBarr,SR,4.224
Chris Cummins,PIT,2.771
Marquis Hutchinson,VAL,4.932
Dylan Brammer,PIT,3.509
Patrick Barnett,SR,2.672
Gregory Paulino,SON,4.445
Mike Jackson Jr.,SON,3.597
Corey MacDonald,PIT,4.225
Kida De La Cruz,VAL,4.55
Juan Espinosa,SON,3.309
Sean Conroy,SON,4.715
Oliver Garcia,SON,3.713
Michael Ormseth,SR,2.534
Justin Lawrence,PIT,3.707
Julian Esquibel,SR,4.274
Rob Ellis,PIT,2.267
Jose Flores,SON,3.696
Wendell Floranus,VAL,4.233
Jeff Lyons,PIT,3.839
Josh Evans,VAL,2.158
Joe Watson,VAL,4.875
Brent Adheen,VAL,4.702
Garrett Granitz,PIT,2.929
Marquis Pettis,PIT,4.622
Brandon Warner,SR,3.873
Hector Ortiz,VAL,6.467
J R Bunda,SR,2.004
Erik Gonsalves,SON,3.619
Clint Manzo,SR,4.012
Michael Kershner,SR,4.953
Ricky Schafer,PIT,5.143
Joe Mello,PIT,2.623
Carlos Pinales,VAL,2.73
Martin Cronin,SON,4.006
Matt Picucci,SON,3.568
Justin Hertzmann,VAL,3.043
Joe Lewis,PIT,3.643
Eric Mozeika,SON,3.15
Nate Gercken,SR,6.067
Miles Richard,PIT,5.479
Austin Delmotte,SON,3.285